,agente,citta
0,73id,dd
1,73id,e
2,73id,r
3,73id,c
4,73id,a
5,73id,b
6,73id,d
7,73id,e
8,73id,u
9,8id,e
10,8id,r
11,8id,c
12,8id,a
13,8id,b
14,8id,c
15,8id,a
16,8id,b
17,8id,c
18,8id,a
19,8id,b
20,8id,d
21,8id,e
22,8id,u
23,8id,c
24,8id,a
25,8id,b
26,8id,d
27,8id,e
28,8id,p
29,11id,cc
30,11id,a
31,11id,b
32,11id,d
33,11id,e
34,11id,l
35,55id,dd
36,55id,e
37,55id,l
38,89id,dd
39,89id,e
40,89id,u
41,89id,c
42,89id,a
43,89id,b
44,89id,c
45,89id,a
46,89id,b
47,89id,c
48,89id,a
49,89id,b
50,89id,d
51,89id,e
52,89id,u
53,89id,c
54,89id,a
55,89id,b
56,89id,d
57,89id,e
58,89id,h
59,89id,r
60,89id,c
61,89id,a
62,89id,b
63,40id,b
64,40id,c
65,40id,a
66,40id,b
67,40id,c
68,40id,a
69,40id,b
70,40id,d
71,40id,e
72,40id,p
73,70id,aa
74,70id,b
75,70id,d
76,70id,e
77,70id,h
78,70id,u
79,70id,c
80,70id,a
81,70id,b
82,70id,d
83,70id,e
84,70id,p
85,81id,aa
86,81id,b
87,81id,d
88,81id,e
89,81id,l
90,34id,ee
91,34id,l
92,48id,d
93,48id,e
94,48id,r
95,48id,c
96,48id,a
97,48id,b
98,48id,d
99,48id,e
100,48id,r
101,48id,c
102,48id,a
103,48id,b
104,48id,d
105,48id,e
106,48id,h
107,48id,r
108,60id,cc
109,60id,a
110,60id,b
111,60id,c
112,60id,a
113,60id,b
114,60id,d
115,60id,e
116,60id,u
117,60id,c
118,60id,a
119,60id,b
120,56id,c
121,56id,a
122,56id,b
123,56id,d
124,56id,e
125,56id,l
126,74id,aa
127,74id,b
128,74id,c
129,74id,a
130,74id,b
131,74id,d
132,74id,e
133,74id,r
134,74id,c
135,74id,a
136,74id,b
137,74id,d
138,74id,e
139,74id,u
140,74id,c
141,74id,a
142,74id,b
143,74id,c
144,74id,a
145,74id,b
146,74id,d
147,74id,e
148,10id,aa
149,10id,b
150,10id,c
151,10id,a
152,10id,b
153,10id,c
154,10id,a
155,10id,b
156,10id,c
157,10id,a
158,10id,b
159,10id,d
160,62id,r
161,62id,c
162,62id,a
163,62id,b
164,62id,d
165,75id,a
166,75id,b
167,75id,c
168,75id,a
169,75id,b
170,75id,c
171,75id,a
172,75id,b
173,75id,d
174,75id,e
175,75id,u
176,38id,a
177,38id,b
178,38id,c
179,38id,a
180,38id,b
181,38id,d
182,38id,e
183,38id,l
184,68id,c
185,68id,a
186,68id,b
187,68id,d
188,69id,e
189,69id,r
190,69id,c
191,69id,a
192,69id,b
193,69id,c
194,69id,a
195,69id,b
196,69id,d
197,69id,e
198,69id,h
199,69id,c
200,52id,aa
201,52id,b
202,52id,d
203,52id,e
204,52id,u
205,3id,aa
206,3id,b
207,3id,d
208,3id,e
209,3id,r
210,26id,dd
211,26id,e
212,26id,u
213,26id,c
214,26id,a
215,26id,b
216,26id,d
217,26id,e
218,26id,r
219,82id,a
220,82id,b
221,82id,d
222,82id,e
223,82id,r
224,82id,c
225,82id,a
226,82id,b
227,82id,d
228,82id,e
229,82id,h
230,82id,r
231,82id,c
232,82id,a
233,82id,b
234,82id,d
235,82id,e
236,82id,p
237,1id,bb
238,1id,c
239,1id,a
240,1id,b
241,1id,c
242,1id,a
243,1id,b
244,1id,d
245,1id,e
246,1id,r
247,1id,c
248,1id,a
249,1id,b
250,1id,d
251,1id,e
252,1id,h
253,1id,c
254,1id,a
255,1id,b
256,1id,c
257,1id,a
258,1id,b
259,42id,u
260,42id,c
261,42id,a
262,42id,b
263,42id,c
264,42id,a
265,42id,b
266,42id,c
267,42id,a
268,42id,b
269,42id,d
270,42id,e
271,42id,h
272,42id,c
273,42id,a
274,42id,b
275,42id,d
276,42id,e
277,42id,r
278,42id,c
279,42id,a
280,42id,b
281,42id,d
282,19id,ee
283,19id,l
284,39id,r
285,39id,c
286,39id,a
287,39id,b
288,39id,c
289,39id,a
290,39id,b
291,39id,d
292,39id,e
293,39id,h
294,39id,u
295,39id,c
296,39id,a
297,39id,b
298,39id,d
